1,1-1,1,"Isrede	mi	kau	bringi	wan	manpikin.","yesterday	1SG	cow	deliver	a	male.young","Yesterday my cow delivered a bull calf."
2,1-2,1,"Da	masra	teki	mi	wefi	na	neti	nanga	tranga	ai.","DET.SG	master	take	1SG	wife	in	night	with	strong	eye","The master took my wife during the night with force."
3,2-1,2,"A	mama	fon	a	pikin.","DET	mother	beat	DET	child","The mother beat the child."
4,2-2,2,"A	boi	lobi	a	umapikin.","DET	boy	love	DET	girl","The boy loves the girl."
5,3-1,3,"A	téi	dí	páu	páá.","3SG	take	DEF.SG	stick	quick","He took the stick quickly."
6,3-32,3,"Wojo	u	mi	á	sa	kai	ku	di	faja.","eye	for	1SG	NEG	M	fall	with	DEF.SG	fire","My eye can't stand the light."
7,3-69,3,"Di	mujɛɛ	naki	di	womi.","DEF.SG	woman	hit	DEF.SG	man","The woman hit the man."
8,4-1,4,"Den	pikinnenge	e	lobi	switi	sii.","DET.PL	child	IPFV	love/like	sweet	seeds","The children like sweets."
9,5-1,5,"kooknot	bring	ail","coconut	bring.forth	oil","Coconuts produce oil. OR: The coconut produces oil."
10,6-1,6,"Shi	buy	a	nju	cyar.","3SG	buy	DET	new	car","She bought a new car."
11,6-54,6,"Sita	eat	di	mango.","Sita	eat	DET	mango","Sita ate the mango."
12,6-55,6,"Di	child	want	food.","DET	child	want	food","The child wants food."
13,7-1,7,"Mi	si	di	man.","1SG	see	ART	man","I see the man. OR: I saw the man."
14,7-22,7,"Meiri	duhz	aal-taim	kis	Jan.","Mary	HAB	all-time	kiss	John","Mary often kisses John. OR: Mary always kisses John."
15,7-61,7,"Di	hed-tiicha	duhz	giv	dem	lesn-z.","ART	head-teacher	HAB	give	3PL	lesson-PL","The headteacher gives them lessons."
16,8-1,8,"Kien	kil	Iebl.","Cain	kill	Abel","Cain killed Abel."
17,9-1,9,"Jimi	fayn	di	kru.","Jimmy	find	ART	crew","Jimmy hired the crew."
18,10-1,10,"Beda	Ginihen	tek	wan	rod.","Brother	Guineahen	take	ART.INDF	rod","Brother Guineahen took a rod."
19,11-1,11,"An	horikien	mash	dat	dong.","and	hurricane	mash	DEM	down","And the hurricane destroyed it."
20,11-8,11,"Dis	hat	man	waahn	aal	di	gyal	dem.","DEM	hot	man	want	all	ART.DEF	girl	PL","This hot man wanted all the girls."
21,12-1,12,"And	the	mother	count	the	fig	-	on	the	tree.","and	the	mother	count[PFV]	the	fig[PL]	 	on	the	tree","And the mother counted the figs on the tree."
22,13-1,13,"Calvary	couldn	hol	de	people.","Calvary	can.PST-NEG	hold	the	people","Calvary couldn't hold the people."
23,14-1,14,"She	told	him.","she	tell.PST	him","She told him."
24,14-2,14,"Bruce	like-Ø	cheese.","Bruce	like-Ø	cheese","Bruce likes cheese."
25,14-7,14,"The	kid	has	asthma","ART	kid	has	asthma","The kid has asthma."
26,15-1,15,"di	bɔbɔ	lɛk	di	titi","ART	boy	like	ART	girl","The boy likes the girl."
27,16-1,16,"polismã	ì	bi	laik	wumã","policeman	3SG	COP	like	woman","Policemen are like women."
28,16-179,16,"gɔd	gò	kil	jù,	gɔd	gò	paniʃ	jù.","God	FUT	kill	2SG	God	FUT	punish	2SG","God will kill you, God will punish you."
29,17-1,17,"À	plant	nyam.","1SG.SBJ	plant	yam","I planted yams."
30,17-96,17,"Chidi	(ìm)	gò	kawnt	nyam.","Chidi	(3SG.SBJ)	IRR	count	yam","Chidi will count yams."
31,18-1,18,"A	don	tchop	bif.","1SG.SBJ	PFV	eat	meat","I have eaten meat."
32,18-39,18,"So	troki	i	wuman	put	ol	haf~haf	botul-dem	an	ston	fo	autsaid.","so	turtle	3SG.POSS	wife	put	all	half~half	bottle-PL	and	stone	for	outside","So the wife of the turtle put all broken bottles and stones outside (lit. So the wife of the turtle put all pieces of bottles and stones outside)."
33,18-75,18,"Ndikum	no	fit	draif	moto.","Ndikum	NEG	be.able	drive	car","Ndikum cannot drive a car."
34,19-1,19,"Dì	gal	dè	kuk	plàntí.","DEF	girl	IPFV	cook	plantain","The girl is cooking plantain."
35,20-1,20,"I	wantchee	one	piecee	woolen.","1SG	want	ART.INDF	CLF	woollen","I want a piece of woollen."
36,20-69,20,"Coolie	hap	give	letter	he.","coolie	PFV	give	letter	3SG","The coolie has given the letter to him."
37,21-1,21,"I	want	some	fish.","I	want	some	fish","I want some fish."
38,21-2,21,"Fish	I	wan.","fish	1SG	want","I want (some) fish."
39,21-10,21,"So	your	grandfather	had	three	wives	something	like	that	ah?","so	2SG.POSS	grandfather	have.PST	three	wives	something	like	that	PCL","So your grandfather had three wives or something like that?"
40,21-37,21,"But	the	boss	saw	the	interview.","CONJ	DET	boss	see.PST	DET	interview","But the boss saw the interview."
41,22-1,22,"Yumi	gat	ol	liklik	dok.","1PL.INCL	have	PL	small	dog","We have little dogs."
42,22-3,22,"Em	bai	inap	wokim	haus.","3SG	FUT	ABIL	make	house","He'll be able to build a house."
43,22-4,22,"Tu-pela	pikinini	blong-en	go	kisim	lip	banana.","two-MOD	child	POSS-3SG	go	get	leaf	banana","His two children went to fetch banana leaves."
